,Unnamed: 0,Name,Price,Comments,Country,Store,price
0,0,unicharm 尤妮佳 Silcot省1/2化妆水化妆棉 40枚 四盒装,¥62,103679,日本,网易考拉自营,62.0
1,1,SOFINA 苏菲娜 Primavista Ange控油瓷效妆前隔离乳SPF25 PA++ 25克,¥99,50075,日本,网易考拉自营,99.0
2,2,Daiso 大创 粉扑专用清洗剂 80毫升 平价好物欲罢不能,¥29,35356,日本,网易考拉自营,29.0
3,3,VDL 细致毛孔保湿提亮妆前乳 贝壳提亮液 30毫升  毛孔隐形光彩立现 【拍套餐享优惠】,¥79,43406,韩国,网易考拉自营,79.0
4,4,KISS ME 奇士美 花漾美姬梦幻泪眼防水眼线液笔 0.1极细0.4毫升,¥65,33122,日本,网易考拉自营,65.0
5,5,AGE20`s 爱纪二十之 爱敬 精华遮瑕粉底 正装12.5克+替换装12.5克,¥149,32672,韩国,网易考拉自营,149.0
6,6,MUJI 无印良品 无漂白化妆棉 180枚,¥26,25357,日本,网易考拉自营,26.0
7,7,innisfree 悦诗风吟 控油矿物散粉 5克/罐 2罐 【拍套餐享优惠】,¥65,30838,韩国,网易考拉自营,65.0
8,8,unicharm 尤妮佳 Silcot省1/2化妆水化妆棉 40枚,¥25,17665,日本,网易考拉自营,25.0
9,9,SHISEIDO 资生堂 眉墨铅笔  眉笔深棕色 1.2克,¥29.9,15095,日本,网易考拉自营,29.9
10,10,Daiso 大创 多功能干湿两用五角菱形海绵粉扑 10枚/包,¥29,14302,日本,网易考拉自营,29.0
11,11,【11.11前2小时149元】LΛNEIGE 兰芝 雪纱丝柔防晒新款隔离霜 30毫升 【拍套餐享优惠】,¥169,17199,韩国,网易考拉自营,169.0
12,12,REVLON 露华浓 不脱色粉底液 #150 油性混合型肌肤适用 30毫升,¥75,14366,美国,网易考拉自营,75.0
13,13,2支装 | 【美白隔离】SHISEIDO 资生堂 Za 姬芮 新能真皙美白隔离霜 35克/支 SPF26 PA++ 隔离雾霾 妆前必备,¥129,13709,日本,2马路旗舰店,129.0
14,14,【美白隔离】SHISEIDO 资生堂 Za 姬芮 新能真皙美白隔离霜 35克/支 SPF26 PA++ 隔离雾霾 妆前必备,¥55,12570,日本,2马路旗舰店,55.0
15,15,SHISEIDO 资生堂 眉墨铅笔 眉笔灰色 1.2克,¥29.9,10699,日本,网易考拉自营,29.9
16,16,Dr.Jart+ 第三代经典银色BB霜 40毫升,¥159,12230,韩国,网易考拉自营,159.0
17,17,Too cool for school 葫芦化妆海绵扑 干湿两用 粉色,¥39,9077,韩国,网易考拉自营,39.0
18,18,Daiso 大创 化妆刷洗液 150毫升,¥32,9478,日本,网易考拉自营,32.0
19,19,SHISEIDO 资生堂 眉墨铅笔 眉笔棕色 1.2克,¥29.9,9801,日本,网易考拉自营,29.9
20,20,SHISEIDO 资生堂 PREPARE修眉刀 L字刀头 3支,¥20,11769,日本,网易考拉自营,20.0
21,21,【干皮亲妈法国大宝】Embryolisse 保湿妆前隔离霜,¥78,10638,法国,网易考拉自营,78.0
22,22,Dior 迪奥粉漾魅惑变色润唇膏 01#粉色3.5克,¥198,17658,法国,网易考拉自营,198.0
23,23,MUJI 无印良品 天然化妆棉 189枚,¥26,7587,日本,网易考拉自营,26.0
24,24,考拉工厂店 快速上妆葫芦蛋粉扑 2只,¥29,9620,中国,网易考拉自营,29.0
25,25,Calvin Klein 卡文克莱  ONE 中性淡香水 100毫升,¥178,11652,美国,网易考拉自营,178.0
26,26,innisfree 悦诗风吟 矿物质遮瑕定妆薄荷散粉 5克,¥50,6833,韩国,网易考拉自营,50.0
27,27,innisfree 悦诗风吟 控油矿物粉饼 8.5克,¥55,10082,韩国,网易考拉自营,55.0
28,28,kai/贝印 COSMOS安全修眉刀 5支/盒,¥29,7671,日本,网易考拉自营,29.0
29,29,KISS ME 奇士美 花漾美姬新翘力纤长防水睫毛膏 6克,¥72,7876,日本,网易考拉自营,72.0
30,30,【口碑遮瑕】5色可选 |  Maybelline 美宝莲 橡皮擦遮瑕笔 6毫升/支 保湿提亮 一笔遮瑕,¥79,6677,美国,2马路旗舰店,79.0
31,31,MAXFACTOR 蜜丝佛陀 控油遮瑕防晒透滑粉饼 1号玉瓷色 10克,¥75,8646,美国,网易考拉自营,75.0
32,32,【消除水肿】MC BIKEN BEAUTY BAR BM-1 24K黄金美容棒  T型头,¥419,8992,日本,网易考拉自营,419.0
33,33,【11.11前2H券后79 杨幂同款】3色可选 | 金稻 声波硅胶电动洁面仪 KD308 去黑头，深层清洁,¥99,8784,中国,2马路旗舰店,99.0
34,34,Daiso 大创 眉毛雨衣 定型防水防汗 6毫升 COSME眉部彩妆冠军,¥30,7894,日本,网易考拉自营,30.0
35,35,SHISEIDO 资生堂 213睫毛夹 配替换胶垫,¥59,7230,日本,网易考拉自营,59.0
36,36,REVLON 露华浓 丽采持久炫亮唇膏 #225玫瑰酒红 4.2克,¥45,8190,美国,网易考拉自营,45.0
37,37,【魏璎珞同款色号】MAC 魅可 时尚唇膏  3克,¥135,18280,美国,网易考拉自营,135.0
38,38,Dior 迪奥粉漾魅惑变色润唇膏 01#粉色3.5克,¥198,23468,法国,网易考拉自营,198.0
39,39,KISS ME 奇士美 梦幻泪眼不晕染眼线液笔0.4ml 棕色,¥65,6303,日本,网易考拉自营,65.0
40,40,It'S SKIN 伊思 完美活肤逆时空晶钻蜗牛BB霜 50毫升,¥86,8172,韩国,网易考拉自营,86.0
41,41,【双11前2小时第2件半价】【Mike代言】Mistine 蜜丝婷 持久遮瑕羽翼轻薄粉饼10克/盒,¥65,6109,泰国,网易考拉自营,65.0
42,42,Bourjois 妙巴黎 天鹅绒唇釉液体唇膏 保湿显色,¥69,7462,法国,网易考拉自营,69.0
43,43,Dior 迪奥 粉漾魅惑变色润唇膏 04#橘色 3.5克,¥198,8445,法国,网易考拉自营,198.0
44,44,【林允同款】too cool for school 艺术课堂三色粉饼 9.5克,¥68,6512,韩国,网易考拉自营,68.0
45,45,D.U.P 隐形双眼皮贴 120枚 强力版,¥52,5572,日本,网易考拉自营,52.0
46,46,BURBERRY 博柏利 红粉恋歌女士淡香水 30毫升 糖果般甜蜜,¥199,8676,英国,网易考拉自营,199.0
47,47,考拉工厂店 化妆刷日常妆容套刷 5支装,¥129,5423,中国,网易考拉自营,129.0
48,48,ETUDE HOUSE 伊蒂之屋 Play 101 高光修容阴影两用棒  1.7克,¥69,4509,韩国,网易考拉自营,69.0
49,49,Dior 迪奥 粉漾魅惑变色润唇膏 04#橘色 3.5克,¥198,5918,法国,网易考拉自营,198.0
50,50,【玫瑰豆沙色407/迪奥999平价版415】KIKO MILANO 新版丰盈滋养口红 3克,¥56,6651,意大利,网易考拉自营,56.0
